query;driver;collectionSize;singleCollectionSegmentCount;pairCollectionSegmentCount;connectionSegmentCount;multiQueryCount;rootIdFilterCount;rootValueInListFilterCount;rootEqualityFilterCount;rootNumberRangeFilterCount;nestedIdFilterCount;nestedValueInListFilterCount;nestedEqualityFilterCount;nestedNumberRangeFilterCount;firstFilterDepth;onlyResultFraction;dynamicFilterFraction;dynamicResultFraction;phase;iteration;duration
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand4_children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .pets_grand_child '_id' in [, , , ] .grand5_children_owns_pets_grand_child grand5_children  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;0;4;2;6;4;0;0;0;8;0;0;0;0;0.16666666666666666;0.0;0.8333333333333334;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].children_owns_pets children  '_id' in [, , , ]  .children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;1;0;3;4;2;0;0;0;5;0;0;0;0;0.25;0.0;0.875;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ]  .children_owns_pets children  '_id' in [, , , ]  .grand_children '_id' in [, , , ] [name, age, _id].grand_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] [name, age, _id], limit: null;postgres;100;2;0;3;4;3;0;0;0;5;0;0;0;0;0.2222222222222222;0.0;0.8888888888888888;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].children_owns_pets children  '_id' in [, , , ]  .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand2_children_owns_pets_child pets_child  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_grand_child '_id' in [, , , ] [name, age, _id], limit: null;postgres;100;1;1;3;5;3;0;0;0;6;0;0;0;0;0.5;0.0;0.8;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ]  .children_owns_pets children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand3_children_owns_pets_child pets_child  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_grand_child '_id' in [, , , ] [name, age, _id], limit: null;postgres;100;2;1;3;5;4;0;0;0;6;0;0;0;0;0.45454545454545453;0.0;0.7272727272727273;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ]  .children_owns_pets children  '_id' in [, , , ]  .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] [name, age, _id].grand4_children '_id' in [, , , ] .grand4_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] [name, age, _id], limit: null;postgres;100;1;2;3;6;4;0;0;0;7;0;0;0;0;0.16666666666666666;0.0;0.9166666666666666;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ]  .children_owns_pets children  '_id' in [, , , ]  .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand5_children '_id' in [, , , ] .grand5_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;2;2;3;6;5;0;0;0;7;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' in [, ] .users_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_child '_id' in [, , , ] .children_owns_pets_child children  '_id' in [, , , ]  .children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;1;0;3;3;2;0;0;0;5;0;0;0;0;0.25;0.0;0.875;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_child '_id' in [, , , ] [name, age, _id].children_owns_pets_child children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand_children '_id' in [, , , ] .grand_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;2;0;3;3;3;0;0;0;5;0;0;0;0;0.7777777777777778;0.0;0.5555555555555556;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .children_owns_pets_child children  '_id' in [, , , ]  .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand2_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;1;1;3;4;3;0;0;0;6;0;0;0;0;0.2;0.0;0.9;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .children_owns_pets_child children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand3_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;2;1;3;4;4;0;0;0;6;0;0;0;0;0.36363636363636365;0.0;0.7272727272727273;build;1;0s
users '_id' in [, , , ] .users_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .children_owns_pets_child children  '_id' in [, , , ]  .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand4_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;1;2;3;5;4;0;0;0;7;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' in [, , , ] [name, age, _id].users_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .children_owns_pets_child children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] [name, age, _id].grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand5_children '_id' in [, , , ] .grand5_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;2;2;3;5;5;0;0;0;7;0;0;0;0;0.46153846153846156;0.0;0.6153846153846154;build;1;0s
users '_id' in [, , , ] [name, age, _id].children '_id' in [, , , ] .children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].grand_children_owns_pets grand_children  '_id' in [, , , ]  .grand_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;1;1;3;5;2;0;0;0;7;0;0;0;0;0.3333333333333333;0.0;0.7777777777777778;build;1;0s
users '_id' in [, , , ] [name, age, _id].children '_id' in [, , , ] .children_owns_pets pets  '_id' in [, , , ]  .grand_children_owns_pets grand_children  '_id' in [, , , ]  .grand2_children '_id' in [, , , ] [name, age, _id].grand2_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;2;1;3;5;3;0;0;0;7;0;0;0;0;0.2;0.0;0.8;build;1;0s
users '_id' in [, , , ] [name, age, _id].children '_id' in [, , , ] .children_owns_pets pets  '_id' in [, , , ]  .grand_children_owns_pets grand_children  '_id' in [, , , ]  .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand3_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;1;2;3;6;3;0;0;0;8;0;0;0;0;0.09090909090909091;0.0;0.9090909090909091;build;1;0s
users '_id' in [, ] .children '_id' in [, , , ] .children_owns_pets pets  '_id' in [, , , ]  .grand_children_owns_pets grand_children  '_id' in [, ]  .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] [name, age, _id].grand4_children '_id' in [, , , ] .grand4_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;2;2;3;6;4;0;0;0;8;0;0;0;0;0.08333333333333333;0.0;0.9166666666666666;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .children_owns_pets pets  '_id' in [, , , ]  .grand_children_owns_pets grand_children  '_id' in [, , , ]  .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand5_children '_id' in [, , , ] [name, age, _id].grand5_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;1;3;3;7;4;0;0;0;9;0;0;0;0;0.07692307692307693;0.0;0.9230769230769231;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] [name, age, _id].children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] [name, age, _id].grand_children_owns_pets_child grand_children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;1;1;3;4;2;0;0;0;7;0;0;0;0;0.4444444444444444;0.0;0.6666666666666666;build;1;0s
users '_id' in [, , , ] [name, age, _id].children '_id' in [, , , ] .children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand_children_owns_pets_child grand_children  '_id' in [, , , ]  .grand2_children '_id' in [, , , ] [name, age, _id].grand2_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;2;1;3;4;3;0;0;0;7;0;0;0;0;0.2;0.0;0.8;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] [name, age, _id].children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand_children_owns_pets_child grand_children  '_id' in [, , , ]  .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, ] .grand3_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;1;2;3;5;3;0;0;0;8;0;0;0;0;0.2727272727272727;0.0;0.8181818181818182;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] [name, age, _id].children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand_children_owns_pets_child grand_children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] [name, age, _id].grand4_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;2;2;3;5;4;0;0;0;8;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;build;1;0s
users '_id' in [, , , ] [name, age, _id].children '_id' in [, , , ] .children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand_children_owns_pets_child grand_children  '_id' in [, , , ]  .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand5_children '_id' in [, , , ] .grand5_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;1;3;3;6;4;0;0;0;9;0;0;0;0;0.07692307692307693;0.0;0.9230769230769231;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] [name, age, _id].grand_children_owns_pets pets  '_id' in [, , , ]  .grand2_children_owns_pets grand2_children  '_id' in [, , , ]  .grand2_children_owns_pets_child pets_child  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;2;1;3;5;3;0;0;0;7;0;0;0;0;0.3;0.0;0.8;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] [name, age, _id].grand_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].grand2_children_owns_pets grand2_children  '_id' in [, , , ]  .grand3_children '_id' in [, , , ] [name, age, _id].grand3_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;3;1;3;5;4;0;0;0;7;0;0;0;0;0.36363636363636365;0.0;0.7272727272727273;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, ] [name, age, _id].grand_children_owns_pets pets  '_id' in [, , , ]  .grand2_children_owns_pets grand2_children  '_id' in [, , , ]  .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand4_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;2;2;3;6;4;0;0;0;8;0;0;0;0;0.08333333333333333;0.0;0.9166666666666666;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].grand2_children_owns_pets grand2_children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand3_children '_id' in [, , , ] .grand4_children '_id' in [, ] [name, age, _id].grand5_children '_id' in [, , , ] .grand5_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;3;2;3;6;5;0;0;0;8;0;0;0;0;0.38461538461538464;0.0;0.6923076923076923;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand_children_owns_pets pets  '_id' in [, ]  .pets_child '_id' in [, , , ] [name, age, _id].grand2_children_owns_pets_child grand2_children  '_id' in [, , , ]  .grand2_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;2;1;3;4;3;0;0;0;7;0;0;0;0;0.1;0.0;1.0;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand_children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand2_children_owns_pets_child grand2_children  '_id' in [, , , ]  .grand3_children '_id' in [, , , ] .grand3_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;3;1;3;4;4;0;0;0;7;0;0;0;0;0.18181818181818182;0.0;0.9090909090909091;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand_children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand2_children_owns_pets_child grand2_children  '_id' in [, , , ]  .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand4_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;2;2;3;5;4;0;0;0;8;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] [name, age, _id].grand_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_child '_id' in [, , , ] [name, age, _id].grand2_children_owns_pets_child grand2_children  '_id' in [, , , ]  .grand3_children '_id' in [, , , ] [name, age, _id].grand4_children '_id' in [, , , ] .grand5_children '_id' in [, , , ] .grand5_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;3;2;3;5;5;0;0;0;8;0;0;0;0;0.38461538461538464;0.0;0.7692307692307693;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] [name, age, _id].grand2_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].grand3_children_owns_pets grand3_children  '_id' in [, ]  .grand3_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;1;2;3;6;3;0;0;0;8;0;0;0;0;0.2727272727272727;0.0;0.8181818181818182;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand2_children_owns_pets pets  '_id' in [, , , ]  .grand3_children_owns_pets grand3_children  '_id' in [, , , ]  .grand4_children '_id' in [, , , ] .grand4_children_owns_pets_child pets_child  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;2;2;3;6;4;0;0;0;8;0;0;0;0;0.16666666666666666;0.0;0.9166666666666666;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] [name, age, _id].grand2_children '_id' in [, , , ] [name, age, _id].grand2_children_owns_pets pets  '_id' in [, , , ]  .grand3_children_owns_pets grand3_children  '_id' in [, , , ]  .grand4_children '_id' in [, , , ] [name, age, _id].grand5_children '_id' in [, , , ] [name, age, _id].grand5_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;1;3;3;7;4;0;0;0;9;0;0;0;0;0.3076923076923077;0.0;0.6923076923076923;build;1;0s
users '_id' in [, ] .children '_id' in [, , , ] [name, age, _id].grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand2_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_child '_id' in [, , , ] .grand3_children_owns_pets_child grand3_children  '_id' in [, , , ]  .grand3_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;1;2;3;5;3;0;0;0;8;0;0;0;0;0.45454545454545453;0.0;0.7272727272727273;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand2_children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand3_children_owns_pets_child grand3_children  '_id' in [, , , ]  .grand4_children '_id' in [, , , ] .grand4_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;2;2;3;5;4;0;0;0;8;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] [name, age, _id].grand2_children_owns_pets pets  '_id' in [, , , ]  .pets_child '_id' in [, , , ] .grand3_children_owns_pets_child grand3_children  '_id' in [, , , ]  .grand4_children '_id' in [, , , ] .grand5_children '_id' in [, , , ] .grand5_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;1;3;3;6;4;0;0;0;9;0;0;0;0;0.07692307692307693;0.0;0.9230769230769231;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] [name, age, _id].grand_children '_id' in [, , , ] [name, age, _id].grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand3_children_owns_pets pets  '_id' in [, , , ]  .grand4_children_owns_pets grand4_children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand4_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;2;2;3;6;4;0;0;0;8;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] [name, age, _id].grand3_children_owns_pets pets  '_id' in [, , , ]  .grand4_children_owns_pets grand4_children  '_id' in [, , , ]  .grand5_children '_id' in [, , , ] [name, age, _id].grand5_children_owns_pets_child pets_child  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;3;2;3;6;5;0;0;0;8;0;0;0;0;0.3076923076923077;0.0;0.7692307692307693;build;1;0s
users '_id' in [, , , ] [name, age, _id].children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand3_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_child '_id' in [, , , ] .grand4_children_owns_pets_child grand4_children  '_id' in [, , , ]  .grand4_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;2;2;3;5;4;0;0;0;8;0;0;0;0;0.25;0.0;0.8333333333333334;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand3_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_child '_id' in [, , , ] .grand4_children_owns_pets_child grand4_children  '_id' in [, , , ]  .grand5_children '_id' in [, , , ] .grand5_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ] [since, nickname] [name, age, _id], limit: null;postgres;100;3;2;3;5;5;0;0;0;8;0;0;0;0;0.3076923076923077;0.0;0.8461538461538461;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] .grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] [name, age, _id].grand4_children '_id' in [, , , ] .grand4_children_owns_pets pets  '_id' in [, , , ]  .grand5_children_owns_pets grand5_children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand5_children_owns_pets_child pets_child  '_id' in [, , , ]  .pets_grand_child '_id' in [, , , ] , limit: null;postgres;100;1;3;3;7;4;0;0;0;9;0;0;0;0;0.23076923076923078;0.0;0.7692307692307693;build;1;0s
users '_id' in [, , , ] .children '_id' in [, , , ] [name, age, _id].grand_children '_id' in [, , , ] .grand2_children '_id' in [, , , ] .grand3_children '_id' in [, , , ] .grand4_children '_id' in [, , , ] .grand4_children_owns_pets pets  '_id' in [, , , ] [since, nickname] [name, age, _id].pets_child '_id' in [, , , ] .grand5_children_owns_pets_child grand5_children  '_id' in [, , , ] [since, nickname] [name, age, _id].grand5_children_owns_pets_grand_child pets_grand_child  '_id' in [, , , ]  , limit: null;postgres;100;1;3;3;6;4;0;0;0;9;0;0;0;0;0.38461538461538464;0.0;0.6923076923076923;build;1;0s
users  , limit: null;postgres;100;1;0;0;1;0;0;0;0;0;0;0;0;1;0.0;0.0;1.0;build;1;0s
users 'name' in [, , , ] .children  , limit: null;postgres;100;0;1;0;1;0;1;0;0;0;0;0;0;0;0.0;0.0;1.0;build;1;0s
users 'age' in [, , , ] .children 'age' in [, , , ] [name, age, _id].grand_children 'age' in [, , , ] , limit: null;postgres;100;1;1;0;2;0;2;0;0;0;1;0;0;0;0.3333333333333333;0.0;0.6666666666666666;build;1;0s
users 'name' in [, ] .children 'age' in [, , , ] [name, age, _id].grand_children 'name' in [, , , ] [name, age, _id].grand2_children 'age' in [, , , ] , limit: null;postgres;100;0;2;0;2;0;2;0;0;0;2;0;0;0;0.5;0.0;0.5;build;1;0s
users 'name' in [, , , ] [name, age, _id].children 'name' in [, , , ] [name, age, _id].grand_children 'age' in [, , , ] [name, age, _id].grand2_children 'age' in [, , , ] [name, age, _id].grand3_children 'name' in [, , , ] [name, age, _id], limit: null;postgres;100;1;2;0;3;0;3;0;0;0;2;0;0;0;1.0;0.0;0.0;build;1;0s
users 'age' in [, , , ] [name, age, _id].children 'name' in [, , , ] .grand_children 'name' in [, , , ] .grand2_children 'age' in [, , , ] [name, age, _id].grand3_children 'name' in [, , , ] [name, age, _id].grand4_children 'age' in [, , , ] , limit: null;postgres;100;0;3;0;3;0;3;0;0;0;3;0;0;0;0.5;0.0;0.5;build;1;0s
users 'name' in [, , , ] .children 'age' in [, , , ] .grand_children 'name' in [, , , ] .grand2_children 'age' in [, , , ] .grand3_children 'age' in [, , , ] .grand4_children 'age' in [, , , ] .grand5_children 'age' in [, , , ] , limit: null;postgres;100;1;3;0;4;0;4;0;0;0;3;0;0;0;0.0;0.0;1.0;build;1;0s
users 'name' in [, , , ] .users_owns_pets pets 'since' in [, ]   , limit: null;postgres;100;0;0;1;1;0;1;0;0;0;1;0;0;0;0.0;0.0;1.0;build;1;0s
users 'age' in [, , , ] .users_owns_pets pets 'since' in [, , , ]   .pets_child 'animal' in [, , , ] [name, age, _id], limit: null;postgres;100;1;0;1;2;0;2;0;0;0;1;0;0;0;0.25;0.0;1.0;build;1;0s
users 'age' in [, , , ] .users_owns_pets pets  'animal' in [, , , ]  .pets_child 'age' in [, , , ] .pets_grand_child 'age' in [, , , ] , limit: null;postgres;100;0;1;1;2;0;2;0;0;0;2;0;0;0;0.0;0.0;1.0;build;1;0s
users 'name' in [, , , ] [name, age, _id].children 'name' in [, , , ] .children_owns_pets pets 'since' in [, , , ]   , limit: null;postgres;100;0;1;1;2;0;1;0;0;1;2;0;0;0;0.25;0.0;0.75;build;1;0s
users 'name' in [, , , ] [name, age, _id].children 'name' in [, , , ] .children_owns_pets pets  'age' in [, , , ]  .pets_child 'age' in [, , , ] , limit: null;postgres;100;1;1;1;3;0;2;0;0;1;2;0;0;0;0.2;0.2;0.8;build;1;0s
users 'age' in [, , , ] .children 'name' in [, , , ] .children_owns_pets pets  'animal' in [, , , ] [since, nickname] [name, age, _id].pets_child 'animal' in [, , , ] .pets_grand_child 'age' in [, , , ] , limit: null;postgres;100;0;2;1;3;0;2;0;0;1;3;0;0;0;0.3333333333333333;0.16666666666666666;0.8333333333333334;build;1;0s
users 'age' in [, , , ] .children 'age' in [, , , ] .grand_children 'name' in [, , , ] .grand_children_owns_pets pets 'since' in [, , , ]  [since, nickname] [name, age, _id], limit: null;postgres;100;1;1;1;2;0;2;0;0;1;2;0;0;0;0.4;0.0;0.8;build;1;0s
users 'name' in [, , , ] [name, age, _id].children 'age' in [, , , ] .grand_children 'age' in [, , , ] .grand_children_owns_pets pets  'animal' in [, , , ] [since, nickname] [name, age, _id].pets_child 'age' in [, ] , limit: null;postgres;100;2;1;1;3;0;3;0;0;1;2;0;0;0;0.5;0.0;0.6666666666666666;build;1;0s
users 'age' in [, , , ] .children 'age' in [, , , ] .grand_children 'name' in [, , , ] [name, age, _id].grand_children_owns_pets pets 'nickname' in [, , , ]   .pets_child 'animal' in [, , , ] .pets_grand_child 'age' in [, , , ] , limit: null;postgres;100;1;2;1;3;0;3;0;0;1;3;0;0;0;0.14285714285714285;0.0;0.8571428571428571;build;1;0s
users 'age' in [, , , ] .children 'age' in [, , , ] .grand_children 'age' in [, , , ] [name, age, _id].grand2_children 'age' in [, , , ] .grand2_children_owns_pets pets 'since' in [, , , ]   , limit: null;postgres;100;0;2;1;3;0;2;0;0;1;3;0;0;0;0.16666666666666666;0.0;0.8333333333333334;build;1;0s
users 'age' in [, , , ] .children 'age' in [, , , ] .grand_children 'name' in [, , , ] .grand2_children 'name' in [, , , ] [name, age, _id].grand2_children_owns_pets pets  'animal' in [, , , ] [since, nickname] [name, age, _id].pets_child 'animal' in [, , , ] [name, age, _id], limit: null;postgres;100;1;2;1;4;0;3;0;0;1;3;0;0;0;0.5714285714285714;0.14285714285714285;0.7142857142857143;build;1;0s
users 'age' in [, , , ] .children 'name' in [, , , ] .grand_children 'age' in [, , , ] .grand2_children 'age' in [, , , ] .grand2_children_owns_pets pets  'animal' in [, , , ]  .pets_child 'age' in [, , , ] .pets_grand_child 'age' in [, , , ] [name, age, _id], limit: null;postgres;100;0;3;1;4;0;3;0;0;1;4;0;0;0;0.125;0.125;1.0;build;1;0s
users 'age' in [, , , ] .children 'age' in [, , , ] .grand_children 'age' in [, , , ] .grand2_children 'age' in [, , , ] .grand3_children 'age' in [, , , ] .grand3_children_owns_pets pets  'age' in [, , , ]  , limit: null;postgres;100;1;2;1;3;0;3;0;0;1;3;0;0;0;0.0;0.0;1.0;build;1;0s
